node,profile,nid,spot.channel,Min time/rank,Max time/rank,Avg time/rank,Total time,Calls/rank (min),Calls/rank (avg),Calls/rank (max),Calls (total),Min time/rank (exc),Max time/rank (exc),Avg time/rank (exc),Total time (exc),name
"{'name': 'Kokkos::View::initialization [Bytes restored] via memset', 'type': 'function'}",1024118826,68.0,regionprofile,6.7898e-05,6.7898e-05,6.7898e-05,6.7898e-05,1.0,1.0,1.0,1.0,3.845e-05,3.845e-05,3.845e-05,3.845e-05,Kokkos::View::initialization [Bytes restored] via memset
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,69.0,regionprofile,2.9448e-05,2.9448e-05,2.9448e-05,2.9448e-05,3.0,3.0,3.0,3.0,2.9448e-05,2.9448e-05,2.9448e-05,2.9448e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Restore diff 3', 'type': 'function'}",1024118826,70.0,regionprofile,0.0427116,0.0427116,0.0427116,0.0427116,1.0,1.0,1.0,1.0,0.000200445,0.000200445,0.000200445,0.000200445,Restore diff 3
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,71.0,regionprofile,0.000164082,0.000164082,0.000164082,0.000164082,18.0,18.0,18.0,18.0,0.000164082,0.000164082,0.000164082,0.000164082,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Restore diff 3:Read diff', 'type': 'function'}",1024118826,72.0,regionprofile,0.000118854,0.000118854,0.000118854,0.000118854,1.0,1.0,1.0,1.0,6.248e-05,6.248e-05,6.248e-05,6.248e-05,Restore diff 3:Read diff
"{'name': 'Kokkos::fence: Unnamed Global Fence', 'type': 'function'}",1024118826,73.0,regionprofile,2.8947e-05,2.8947e-05,2.8947e-05,2.8947e-05,3.0,3.0,3.0,3.0,2.8947e-05,2.8947e-05,2.8947e-05,2.8947e-05,Kokkos::fence: Unnamed Global Fence
"{'name': 'Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence', 'type': 'function'}",1024118826,74.0,regionprofile,2.7427e-05,2.7427e-05,2.7427e-05,2.7427e-05,3.0,3.0,3.0,3.0,2.7427e-05,2.7427e-05,2.7427e-05,2.7427e-05,Kokkos::Tools::invoke_kokkosp_callback: Kokkos Profile Tool Fence
"{'name': 'Restore diff 3:Setup', 'type': 'function'}",1024118826,75.0,regionprofile,0.0295017,0.0295017,0.0295017,0.0295017,1.0,1.0,1.0,1.0,0.0262335,0.0262335,0.0262335,0.0262335,Restore diff 3:Setup
"{'name': 'Kokkos::deep_copy: copy between contiguous views, pre view equality check', 'type': 'function'}",1024118826,76.0,regionprofile,2.8952e-05,2.8952e-05,2.8952e-05,2.8952e-05,3.0,3.0,3.0,3.0,2.8952e-05,2.8952e-05,2.8952e-05,2.8952e-05,"Kokkos::deep_copy: copy between contiguous views, pre view equality check"
"{'name': 'Kokkos::deep_copy: copy between contiguous views, post deep copy fence', 'type': 'function'}",1024118826,77.0,regionprofile,5.4748e-05,5.4748e-05,5.4748e-05,5.4748e-05,3.0,3.0,3.0,3.0,5.4748e-05,5.4748e-05,5.4748e-05,5.4748e-05,"Kokkos::deep_copy: copy between contiguous views, post deep copy fence"
"{'name': 'Kokkos::fence: Unnamed Global Fence', 'type': 'function'}",1024118826,78.0,regionprofile,2.9303e-05,2.9303e-05,2.9303e-05,2.9303e-05,3.0,3.0,3.0,3.0,2.9303e-05,2.9303e-05,2.9303e-05,2.9303e-05,Kokkos::fence: Unnamed Global Fence
"{'name': 'Kokkos::Cuda: backend fence after async malloc', 'type': 'function'}",1024118826,79.0,regionprofile,0.000203292,0.000203292,0.000203292,0.000203292,13.0,13.0,13.0,13.0,0.000203292,0.000203292,0.000203292,0.000203292,Kokkos::Cuda: backend fence after async malloc
